School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,3,0,0,3
Alford ES,0,0,0,0
Anderson-Livsey ES,0,0,0,0
Annistown ES,0,0,0,0
Arcado ES,1,0,0,1
Archer HS,0,0,0,0
Baggett ES,0,0,0,0
Baldwin ES,0,0,0,0
Bay Creek MS,3,1,2,6
Beaver Ridge ES,1,0,0,1
Benefield ES,0,0,0,0
Berkeley Lake ES,2,0,0,2
Berkmar HS,0,0,0,0
Berkmar MS,2,0,2,4
Bethesda ES,0,0,0,0
Britt ES,0,0,0,0
Brookwood ES,26,1,0,27
Brookwood HS,13,2,0,15
Buice Center,0,0,0,0
Burnette ES,3,0,3,6
Camp Creek ES,1,0,0,1
Cedar Hill ES,3,1,0,4
Centerville ES,0,0,0,0
Central Gwinnett HS,0,1,0,1
Chattahoochee ES,3,0,0,3
Chesney ES,2,2,0,4
Coleman MS,0,0,0,0
Collins Hill HS,9,1,0,10
Cooper ES,0,0,0,0
Corley ES,1,0,0,1
Couch MS,0,0,0,0
Craig ES,0,0,0,0
Creekland MS,0,0,0,0
Crews MS,1,0,0,1
Dacula ES,3,0,1,4
Dacula HS,0,0,0,0
Dacula MS,32,3,2,37
Discovery HS,2,2,1,5
Duluth HS,3,2,2,7
Duluth MS,6,1,1,8
Duncan Creek ES,3,4,0,7
Dyer ES,24,0,3,27
Ferguson ES,4,0,0,4
Five Forks MS,1,0,0,1
Fort Daniel ES,12,1,0,13
Freeman's Mill ES,1,0,0,1
GIVE East,0,0,0,0
GIVE West,0,0,0,0
Grace Snell MS,1,0,2,3
Graves ES,0,0,0,0
Grayson ES,3,0,0,3
Grayson HS,4,1,0,5
Gwin Oaks ES,1,0,0,1
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,1,1
Harbins ES,21,1,0,22
Harmony ES,10,2,0,12
Harris ES,0,0,0,0
Head ES,0,0,0,0
Hopkins ES,6,1,0,7
Hull MS,0,0,2,2
International Transition Center,0,0,0,0
Ivy Creek ES,1,0,0,1
Jackson ES,6,1,0,7
Jenkins ES,0,0,0,0
Jones MS,19,1,1,21
Jordan MS,2,0,0,2
Kanoheda ES,2,0,0,2
Knight ES,5,1,2,8
Lanier HS,2,1,0,3
Lanier MS,8,0,0,8
Lawrenceville ES,1,0,0,1
Level Creek ES,37,5,0,42
Lilburn ES,6,1,0,7
Lilburn MS,2,0,0,2
Lovin ES,0,0,0,0
Magill ES,2,0,0,2
Mason ES,0,0,0,0
Maxwell,0,0,0,0
McClure Health Science HS,3,0,0,3
McConnell MS,0,0,0,0
McKendree ES,0,2,0,2
Meadowcreek ES,1,2,0,3
Meadowcreek HS,26,0,8,34
Mill Creek HS,41,2,0,43
Minor ES,1,0,1,2
Moore MS,0,0,0,0
Mountain Park ES,0,0,0,0
Mountain View HS,14,1,1,16
Mulberry ES,3,0,0,3
Nesbit ES,2,1,2,5
Norcross ES,0,0,1,1
Norcross HS,2,0,0,2
North Gwinnett HS,0,0,1,1
North Gwinnett MS,3,1,0,4
Northbrook MS,0,0,0,0
Norton ES,0,0,0,0
Oakland Meadow School,0,0,0,0
Osborne MS,42,2,0,44
Parkview HS,2,1,4,7
Parsons ES,0,0,0,0
Partee ES,1,0,0,1
Patrick ES,0,0,0,0
Paul Duke STEM HS,0,0,0,0
Peachtree ES,0,0,0,0
Peachtree Ridge HS,3,1,0,4
Pharr ES,3,1,0,4
Phoenix HS,0,0,0,0
Pinckneyville MS,1,2,0,3
Puckett's Mill ES,3,0,0,3
Radloff MS,0,0,0,0
Richards MS,18,1,1,20
Riverside ES,4,1,0,5
Roberts ES,0,0,0,0
Rock Springs ES,1,0,0,1
Rockbridge ES,0,0,0,0
Rosebud ES,2,0,0,2
Shiloh ES,5,0,0,5
Shiloh HS,0,1,0,1
Shiloh MS,1,1,1,3
Simonton ES,3,0,1,4
Simpson ES,2,0,0,2
Snellville MS,0,0,0,0
South Gwinnett HS,1,1,1,3
Starling ES,3,0,0,3
Stripling ES,2,1,2,5
Sugar Hill ES,2,0,0,2
Summerour MS,0,0,0,0
Suwanee ES,0,0,0,0
Sweetwater MS,0,0,0,0
Sycamore ES,9,1,0,10
Taylor ES,1,0,0,1
Trickum MS,2,0,0,2
Trip ES,28,1,0,29
Twin Rivers MS,2,0,0,2
Walnut Grove ES,1,0,0,1
White Oak ES,2,0,2,4
Winn Holt ES,1,0,0,1
Woodward Mill ES,2,1,0,3
