School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,0,1,0,1
Brookwood ES,3,0,0,3
Brookwood HS,2,0,0,2
Cedar Hill ES,1,0,0,1
Centerville ES,1,0,1,2
Central Gwinnett HS,0,1,0,1
Crews MS,14,1,0,15
Dacula ES,0,2,0,2
Discovery HS,0,1,0,1
Duluth MS,1,0,1,2
Duncan Creek ES,1,0,0,1
GIVE West,0,0,1,1
Grace Snell MS,0,0,1,1
Graves ES,0,1,0,1
Hull MS,1,0,0,1
Ivy Creek ES,3,0,0,3
Jackson ES,2,0,0,2
Jenkins ES,0,1,0,1
Lanier HS,9,0,0,9
McConnell MS,1,0,0,1
Meadowcreek HS,0,0,1,1
Mill Creek HS,10,1,0,11
Mountain View HS,1,0,0,1
North Gwinnett HS,1,0,1,2
Northbrook MS,22,1,1,24
Osborne MS,1,0,0,1
Parsons ES,2,1,0,3
Peachtree ES,1,0,0,1
Peachtree Ridge HS,1,2,0,3
Pinckneyville MS,0,0,1,1
Puckett's Mill ES,2,0,0,2
Twin Rivers MS,2,0,0,2
