School,Close Contact,Positive Case,Suspected Case,Total
Benefield ES,0,1,0,1
Berkmar HS,2,0,0,2
Berkmar MS,3,0,1,4
Chattahoochee ES,1,0,1,2
Collins Hill HS,1,0,0,1
Crews MS,14,0,0,14
Discovery HS,1,0,0,1
Duncan Creek ES,1,0,0,1
Grace Snell MS,3,0,0,3
Grayson HS,4,1,0,5
Harmony ES,1,0,0,1
Head ES,1,0,0,1
Jones MS,0,2,0,2
Jordan MS,1,0,0,1
Knight ES,5,0,0,5
Meadowcreek HS,0,0,2,2
Mill Creek HS,3,0,0,3
Moore MS,1,0,0,1
Mountain Park ES,1,0,0,1
North Gwinnett HS,3,0,1,4
Northbrook MS,4,1,0,5
Oakland Meadow School,1,0,0,1
Osborne MS,1,0,0,1
Riverside ES,18,1,1,20
Shiloh HS,1,0,0,1
South Gwinnett HS,1,0,0,1
Sweetwater MS,1,0,0,1
Sycamore ES,1,0,0,1
Walnut Grove ES,9,1,0,10
White Oak ES,14,0,1,15
Winn Holt ES,1,0,0,1
