School,Close Contact,Positive Case,Suspected Case,Total
Britt ES,3,0,0,3
Burnette ES,0,2,0,2
Camp Creek ES,3,0,0,3
Craig ES,1,0,0,1
Crews MS,1,1,0,2
Duncan Creek ES,10,1,0,11
Dyer ES,0,0,1,1
Graves ES,2,0,0,2
Gwin Oaks ES,2,0,0,2
Harmony ES,1,0,0,1
Jones MS,37,0,0,37
Lanier MS,1,0,0,1
McKendree ES,25,1,0,26
Mill Creek HS,0,1,0,1
Minor ES,7,0,1,8
Mountain View HS,2,1,0,3
Mulberry ES,0,1,0,1
Nesbit ES,1,0,0,1
Oakland Meadow School,0,0,1,1
Osborne MS,8,1,0,9
Pinckneyville MS,2,0,0,2
Roberts ES,4,1,0,5
Rock Springs ES,25,1,0,26
Shiloh ES,1,0,0,1
Trickum MS,2,0,0,2
