School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,2,1,0,3
Alford ES,0,0,0,0
Anderson-Livsey ES,1,0,0,1
Annistown ES,0,0,0,0
Arcado ES,4,0,1,5
Archer HS,10,1,0,11
Baggett ES,0,0,0,0
Baldwin ES,0,0,1,1
Bay Creek MS,4,1,4,9
Beaver Ridge ES,3,0,0,3
Benefield ES,0,0,0,0
Berkeley Lake ES,1,0,0,1
Berkmar HS,2,0,0,2
Berkmar MS,12,0,3,15
Bethesda ES,0,0,0,0
Britt ES,28,1,0,29
Brookwood ES,1,0,0,1
Brookwood HS,10,0,0,10
Buice Center,0,0,0,0
Burnette ES,0,2,0,2
Camp Creek ES,4,0,0,4
Cedar Hill ES,1,0,0,1
Centerville ES,0,0,0,0
Central Gwinnett HS,0,0,0,0
Chattahoochee ES,5,0,2,7
Chesney ES,18,2,0,20
Coleman MS,1,0,0,1
Collins Hill HS,2,1,0,3
Cooper ES,13,1,1,15
Corley ES,0,0,0,0
Couch MS,1,1,0,2
Craig ES,0,0,0,0
Creekland MS,0,0,0,0
Crews MS,16,2,0,18
Dacula ES,2,0,0,2
Dacula HS,0,1,0,1
Dacula MS,1,0,0,1
Discovery HS,1,0,0,1
Duluth HS,3,0,0,3
Duluth MS,3,1,3,7
Duncan Creek ES,41,4,0,45
Dyer ES,13,0,3,16
Ferguson ES,4,3,0,7
Five Forks MS,0,0,0,0
Fort Daniel ES,0,0,0,0
Freeman's Mill ES,1,0,0,1
GIVE East,0,0,0,0
GIVE West,0,0,0,0
Grace Snell MS,4,1,0,5
Graves ES,4,0,0,4
Grayson ES,0,0,0,0
Grayson HS,15,3,0,18
Gwin Oaks ES,2,0,0,2
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,0,0
Harbins ES,0,0,0,0
Harmony ES,3,0,0,3
Harris ES,1,0,1,2
Head ES,0,0,0,0
Hopkins ES,1,0,0,1
Hull MS,1,0,0,1
International Transition Center,0,0,0,0
Ivy Creek ES,2,1,0,3
Jackson ES,4,1,1,6
Jenkins ES,0,0,0,0
Jones MS,37,2,0,39
Jordan MS,1,0,0,1
Kanoheda ES,0,0,0,0
Knight ES,5,0,0,5
Lanier HS,3,0,1,4
Lanier MS,1,0,0,1
Lawrenceville ES,0,0,3,3
Level Creek ES,0,2,0,2
Lilburn ES,0,0,0,0
Lilburn MS,0,0,0,0
Lovin ES,0,0,0,0
Magill ES,0,0,0,0
Mason ES,1,0,0,1
Maxwell,0,0,0,0
McClure Health Science HS,0,0,0,0
McConnell MS,0,1,0,1
McKendree ES,25,1,0,26
Meadowcreek ES,0,1,0,1
Meadowcreek HS,1,1,2,4
Mill Creek HS,66,5,0,71
Minor ES,7,0,1,8
Moore MS,1,0,0,1
Mountain Park ES,1,0,0,1
Mountain View HS,3,1,1,5
Mulberry ES,2,2,0,4
Nesbit ES,7,1,1,9
Norcross ES,2,0,1,3
Norcross HS,4,0,0,4
North Gwinnett HS,3,1,1,5
North Gwinnett MS,1,0,0,1
Northbrook MS,4,1,0,5
Norton ES,0,0,0,0
Oakland Meadow School,1,0,1,2
Osborne MS,12,1,0,13
Parkview HS,3,0,0,3
Parsons ES,0,0,0,0
Partee ES,1,0,0,1
Patrick ES,0,0,0,0
Paul Duke STEM HS,2,0,0,2
Peachtree ES,2,0,1,3
Peachtree Ridge HS,0,0,0,0
Pharr ES,0,0,0,0
Phoenix HS,0,0,0,0
Pinckneyville MS,10,1,2,13
Puckett's Mill ES,1,0,1,2
Radloff MS,0,0,0,0
Richards MS,1,0,0,1
Riverside ES,19,1,1,21
Roberts ES,4,1,0,5
Rock Springs ES,25,1,0,26
Rockbridge ES,0,0,0,0
Rosebud ES,2,1,0,3
Shiloh ES,2,0,0,2
Shiloh HS,0,1,0,1
Shiloh MS,3,2,2,7
Simonton ES,13,1,1,15
Simpson ES,0,0,0,0
Snellville MS,0,0,0,0
South Gwinnett HS,1,0,0,1
Starling ES,0,1,0,1
Stripling ES,2,2,2,6
Sugar Hill ES,0,0,0,0
Summerour MS,0,0,0,0
Suwanee ES,0,0,0,0
Sweetwater MS,1,0,0,1
Sycamore ES,6,0,0,6
Taylor ES,2,0,0,2
Trickum MS,2,0,0,2
Trip ES,1,0,0,1
Twin Rivers MS,0,0,0,0
Walnut Grove ES,9,2,0,11
White Oak ES,29,1,1,31
Winn Holt ES,1,0,0,1
Woodward Mill ES,0,1,0,1
