School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,2,1,0,3
Alford ES,0,0,0,0
Anderson-Livsey ES,1,0,0,1
Annistown ES,0,0,0,0
Arcado ES,11,0,2,13
Archer HS,2,0,0,2
Baggett ES,0,0,0,0
Baldwin ES,0,0,1,1
Bay Creek MS,7,2,4,13
Beaver Ridge ES,2,0,0,2
Benefield ES,0,0,0,0
Berkeley Lake ES,2,0,0,2
Berkmar HS,0,0,0,0
Berkmar MS,11,0,3,14
Bethesda ES,0,0,0,0
Britt ES,2,1,0,3
Brookwood ES,27,1,0,28
Brookwood HS,33,4,0,37
Buice Center,0,0,0,0
Burnette ES,1,0,3,4
Camp Creek ES,2,0,0,2
Cedar Hill ES,3,1,0,4
Centerville ES,2,0,1,3
Central Gwinnett HS,0,1,0,1
Chattahoochee ES,4,0,1,5
Chesney ES,17,4,0,21
Coleman MS,1,0,0,1
Collins Hill HS,10,0,0,10
Cooper ES,13,1,1,15
Corley ES,0,0,0,0
Couch MS,0,0,0,0
Craig ES,0,0,0,0
Creekland MS,1,0,0,1
Crews MS,10,1,0,11
Dacula ES,3,0,1,4
Dacula HS,0,1,0,1
Dacula MS,2,0,2,4
Discovery HS,0,0,1,1
Duluth HS,5,2,2,9
Duluth MS,4,1,2,7
Duncan Creek ES,29,5,0,34
Dyer ES,23,0,2,25
Ferguson ES,4,1,0,5
Five Forks MS,1,0,0,1
Fort Daniel ES,12,1,0,13
Freeman's Mill ES,1,0,0,1
GIVE East,0,0,0,0
GIVE West,0,0,0,0
Grace Snell MS,1,0,1,2
Graves ES,0,0,0,0
Grayson ES,3,0,0,3
Grayson HS,6,2,0,8
Gwin Oaks ES,1,0,0,1
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,0,0
Harbins ES,21,1,0,22
Harmony ES,11,2,0,13
Harris ES,1,1,1,3
Head ES,0,0,0,0
Hopkins ES,7,1,0,8
Hull MS,1,0,2,3
International Transition Center,0,0,0,0
Ivy Creek ES,1,0,0,1
Jackson ES,0,1,0,1
Jenkins ES,0,0,0,0
Jones MS,20,1,1,22
Jordan MS,2,0,0,2
Kanoheda ES,1,0,0,1
Knight ES,2,0,2,4
Lanier HS,5,1,2,8
Lanier MS,7,0,0,7
Lawrenceville ES,1,0,3,4
Level Creek ES,37,4,0,41
Lilburn ES,1,0,0,1
Lilburn MS,0,0,0,0
Lovin ES,0,0,0,0
Magill ES,1,0,0,1
Mason ES,1,0,0,1
Maxwell,0,0,0,0
McClure Health Science HS,3,0,0,3
McConnell MS,0,1,0,1
McKendree ES,0,0,0,0
Meadowcreek ES,1,3,0,4
Meadowcreek HS,26,1,7,34
Mill Creek HS,79,4,0,83
Minor ES,0,0,1,1
Moore MS,0,0,0,0
Mountain Park ES,0,0,0,0
Mountain View HS,14,1,1,16
Mulberry ES,3,1,0,4
Nesbit ES,4,1,2,7
Norcross ES,2,0,2,4
Norcross HS,2,0,0,2
North Gwinnett HS,1,1,1,3
North Gwinnett MS,8,1,0,9
Northbrook MS,0,0,0,0
Norton ES,0,0,0,0
Oakland Meadow School,0,0,0,0
Osborne MS,4,1,0,5
Parkview HS,10,1,4,15
Parsons ES,0,0,0,0
Partee ES,1,0,0,1
Patrick ES,0,0,0,0
Paul Duke STEM HS,2,0,0,2
Peachtree ES,2,0,0,2
Peachtree Ridge HS,0,0,0,0
Pharr ES,3,1,0,4
Phoenix HS,0,0,0,0
Pinckneyville MS,6,3,1,10
Puckett's Mill ES,4,0,1,5
Radloff MS,0,0,0,0
Richards MS,2,1,1,4
Riverside ES,4,1,0,5
Roberts ES,0,0,0,0
Rock Springs ES,1,0,0,1
Rockbridge ES,0,0,0,0
Rosebud ES,18,1,0,19
Shiloh ES,5,0,0,5
Shiloh HS,0,1,0,1
Shiloh MS,3,2,3,8
Simonton ES,14,1,2,17
Simpson ES,2,0,0,2
Snellville MS,0,0,0,0
South Gwinnett HS,1,1,1,3
Starling ES,3,1,0,4
Stripling ES,2,2,3,7
Sugar Hill ES,2,0,0,2
Summerour MS,0,0,0,0
Suwanee ES,0,0,0,0
Sweetwater MS,0,0,0,0
Sycamore ES,9,1,0,10
Taylor ES,1,1,0,2
Trickum MS,2,0,0,2
Trip ES,1,0,0,1
Twin Rivers MS,2,0,0,2
Walnut Grove ES,0,1,0,1
White Oak ES,16,1,0,17
Winn Holt ES,1,0,1,2
Woodward Mill ES,2,1,0,3
