School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,1,0,0,1
Bay Creek MS,1,1,2,4
Berkmar MS,0,0,1,1
Brookwood ES,24,1,0,25
Brookwood HS,11,0,0,11
Chesney ES,1,2,0,3
Dacula ES,1,0,0,1
Duluth HS,2,1,0,3
Duluth MS,3,0,1,4
Duncan Creek ES,1,0,0,1
Dyer ES,13,0,1,14
Five Forks MS,1,0,0,1
Hopkins ES,1,0,0,1
Hull MS,0,0,2,2
Jordan MS,1,0,0,1
Kanoheda ES,1,0,0,1
Level Creek ES,0,1,0,1
Meadowcreek ES,0,1,0,1
Meadowcreek HS,9,0,4,13
Mill Creek HS,25,1,0,26
Minor ES,1,0,1,2
Mountain View HS,1,0,0,1
Nesbit ES,2,1,1,4
Norcross ES,1,0,0,1
North Gwinnett MS,0,1,0,1
Osborne MS,2,0,0,2
Parkview HS,0,0,1,1
Pharr ES,2,1,0,3
Riverside ES,3,1,0,4
Shiloh ES,1,0,0,1
Shiloh MS,1,0,0,1
Simonton ES,0,0,1,1
South Gwinnett HS,0,1,0,1
Starling ES,1,0,0,1
Sycamore ES,5,1,0,6
