School,Close Contact,Positive Case,Suspected Case,Total
Alcova ES,4,1,0,5
Alford ES,0,0,0,0
Anderson-Livsey ES,1,0,0,1
Annistown ES,0,0,0,0
Arcado ES,11,0,2,13
Archer HS,10,1,0,11
Baggett ES,0,0,0,0
Baldwin ES,0,0,1,1
Bay Creek MS,6,2,4,12
Beaver Ridge ES,3,0,0,3
Benefield ES,0,0,0,0
Berkeley Lake ES,2,0,0,2
Berkmar HS,0,0,0,0
Berkmar MS,11,0,3,14
Bethesda ES,0,0,0,0
Britt ES,27,1,0,28
Brookwood ES,27,1,0,28
Brookwood HS,34,4,0,38
Buice Center,0,0,0,0
Burnette ES,0,0,2,2
Camp Creek ES,1,0,0,1
Cedar Hill ES,3,0,0,3
Centerville ES,2,0,1,3
Central Gwinnett HS,0,0,0,0
Chattahoochee ES,4,0,1,5
Chesney ES,18,4,0,22
Coleman MS,1,0,0,1
Collins Hill HS,10,1,0,11
Cooper ES,13,1,1,15
Corley ES,0,0,0,0
Couch MS,1,1,0,2
Craig ES,0,0,0,0
Creekland MS,1,0,0,1
Crews MS,10,1,0,11
Dacula ES,2,0,1,3
Dacula HS,0,1,0,1
Dacula MS,2,0,2,4
Discovery HS,0,0,1,1
Duluth HS,5,2,2,9
Duluth MS,4,1,3,8
Duncan Creek ES,45,5,0,50
Dyer ES,22,0,3,25
Ferguson ES,8,3,0,11
Five Forks MS,1,0,0,1
Fort Daniel ES,12,1,0,13
Freeman's Mill ES,2,0,0,2
GIVE East,0,0,0,0
GIVE West,0,0,0,0
Grace Snell MS,2,1,1,4
Graves ES,2,0,0,2
Grayson ES,1,0,0,1
Grayson HS,11,2,0,13
Gwin Oaks ES,1,0,0,1
Gwinnett Online Campus,0,0,0,0
"Gwinnett School of Mathematics, Science, and Technology",0,0,0,0
Harbins ES,21,1,0,22
Harmony ES,11,0,0,11
Harris ES,1,1,1,3
Head ES,0,0,0,0
Hopkins ES,7,1,0,8
Hull MS,1,0,2,3
International Transition Center,0,0,0,0
Ivy Creek ES,2,1,0,3
Jackson ES,4,2,1,7
Jenkins ES,0,0,0,0
Jones MS,20,0,0,20
Jordan MS,1,0,0,1
Kanoheda ES,0,0,0,0
Knight ES,2,0,1,3
Lanier HS,3,0,2,5
Lanier MS,7,0,0,7
Lawrenceville ES,1,0,3,4
Level Creek ES,13,4,0,17
Lilburn ES,1,0,0,1
Lilburn MS,0,0,0,0
Lovin ES,0,0,0,0
Magill ES,1,0,0,1
Mason ES,1,0,0,1
Maxwell,0,0,0,0
McClure Health Science HS,3,0,0,3
McConnell MS,0,1,0,1
McKendree ES,0,0,0,0
Meadowcreek ES,1,3,0,4
Meadowcreek HS,26,2,7,35
Mill Creek HS,89,5,0,94
Minor ES,0,0,0,0
Moore MS,0,0,0,0
Mountain Park ES,0,0,0,0
Mountain View HS,14,1,1,16
Mulberry ES,3,1,0,4
Nesbit ES,10,2,2,14
Norcross ES,2,0,2,4
Norcross HS,5,0,0,5
North Gwinnett HS,1,1,0,2
North Gwinnett MS,7,1,0,8
Northbrook MS,0,0,0,0
Norton ES,0,0,0,0
Oakland Meadow School,0,0,0,0
Osborne MS,5,1,0,6
Parkview HS,10,1,4,15
Parsons ES,0,0,0,0
Partee ES,1,0,0,1
Patrick ES,0,0,0,0
Paul Duke STEM HS,2,0,0,2
Peachtree ES,2,0,1,3
Peachtree Ridge HS,0,0,0,0
Pharr ES,3,1,0,4
Phoenix HS,0,0,0,0
Pinckneyville MS,8,3,2,13
Puckett's Mill ES,4,0,1,5
Radloff MS,0,0,0,0
Richards MS,1,0,1,2
Riverside ES,4,0,0,4
Roberts ES,0,0,0,0
Rock Springs ES,1,0,0,1
Rockbridge ES,0,0,0,0
Rosebud ES,18,1,0,19
Shiloh ES,5,0,0,5
Shiloh HS,0,1,0,1
Shiloh MS,3,2,3,8
Simonton ES,13,1,2,16
Simpson ES,2,0,0,2
Snellville MS,0,0,0,0
South Gwinnett HS,1,1,1,3
Starling ES,3,1,0,4
Stripling ES,2,2,3,7
Sugar Hill ES,2,0,0,2
Summerour MS,0,0,0,0
Suwanee ES,0,0,0,0
Sweetwater MS,0,0,0,0
Sycamore ES,9,1,0,10
Taylor ES,3,1,0,4
Trickum MS,1,0,0,1
Trip ES,1,0,0,1
Twin Rivers MS,1,0,0,1
Walnut Grove ES,0,1,0,1
White Oak ES,16,1,0,17
Winn Holt ES,1,0,1,2
Woodward Mill ES,2,1,0,3
